CX,CY,CZ,R,P,Y
0.8475,180,44.7561,0.2766,0,0.961
2.5425,180,44.2682,0.2766,0,0.961
4.2392,180,43.7863,0.2698,0,0.9629
5.9375,180,43.3103,0.2698,0,0.9629
7.6376,180,42.8404,0.263,-0,0.9648
9.3393,180,42.3765,0.263,0,0.9648
11.0426,180,41.9186,0.2562,0,0.9666
12.7475,180,41.4667,0.2562,0,0.9666
14.454,180,41.0208,0.2494,-0,0.9684
16.1621,180,40.5809,0.2494,0,0.9684
17.8717,180,40.1471,0.2425,0,0.9701
19.5829,180,39.7193,0.2425,0,0.9701
21.2955,180,39.2975,0.2357,-0,0.9718
23.0096,180,38.8818,0.2357,-0,0.9718
24.7252,180,38.4721,0.2288,-0,0.9735
26.4422,180,38.0685,0.2288,0,0.9735
28.1606,180,37.6709,0.222,0,0.9751
29.8804,180,37.2794,0.222,0,0.9751
31.6016,180,36.894,0.2151,0,0.9766
33.3241,180,36.5147,0.2151,0,0.9766
35.0479,180,36.1414,0.2082,-0,0.9781
36.7731,180,35.7742,0.2082,-0,0.9781
38.4995,180,35.4131,0.2013,-0,0.9795
40.2272,180,35.0581,0.2013,-0,0.9795
41.9562,180,34.7092,0.1944,-0,0.9809
43.6863,180,34.3664,0.1944,-0,0.9809
45.4177,180,34.0297,0.1874,-0,0.9823
47.1502,180,33.6991,0.1874,0,0.9823
48.8839,180,33.3746,0.1805,-0,0.9836
50.6188,180,33.0562,0.1805,-0,0.9836
52.3547,180,32.744,0.1736,-0,0.9848
54.0918,180,32.4379,0.1736,-0,0.9848
55.8298,180,32.1379,0.1666,-0,0.986
57.569,180,31.844,0.1666,0,0.986
59.3092,180,31.5563,0.1596,-0,0.9872
61.0504,180,31.2748,0.1596,-0,0.9872
62.7925,180,30.9993,0.1527,0,0.9883
64.5356,180,30.73,0.1527,0,0.9883
66.2797,180,30.4669,0.1457,0,0.9893
68.0247,180,30.2099,0.1457,0,0.9893
69.7706,180,29.9591,0.1387,0,0.9903
71.5173,180,29.7144,0.1387,0,0.9903
73.2649,180,29.4759,0.1317,-0,0.9913
75.0133,180,29.2436,0.1317,0,0.9913
76.7626,180,29.0174,0.1247,0,0.9922
78.5126,180,28.7975,0.1247,0,0.9922
80.2634,180,28.5836,0.1177,-0,0.993
82.0149,180,28.376,0.1177,-0,0.993
83.7672,180,28.1745,0.1107,-0,0.9939
85.5202,180,27.9793,0.1107,-0,0.9939
87.2738,180,27.7902,0.1037,0,0.9946
89.0281,180,27.6073,0.1037,-0,0.9946
90.783,180,27.4306,0.0967,-0,0.9953
92.5385,180,27.26,0.0967,0,0.9953
94.2947,180,27.0957,0.0897,-0,0.996
96.0514,180,26.9376,0.0897,-0,0.996
97.8086,180,26.7856,0.0826,0,0.9966
99.5664,180,26.6399,0.0826,0,0.9966
101.3247,180,26.5004,0.0756,-0,0.9971
103.0834,180,26.367,0.0756,-0,0.9971
104.8426,180,26.2399,0.0686,-0,0.9976
106.6023,180,26.119,0.0686,-0,0.9976
108.3623,180,26.0043,0.0615,-0,0.9981
110.1228,180,25.8958,0.0615,0,0.9981
111.8836,180,25.7935,0.0545,-0,0.9985
113.6448,180,25.6974,0.0545,0,0.9985
115.4063,180,25.6076,0.0474,0,0.9989
117.1681,180,25.5239,0.0474,0,0.9989
118.9302,180,25.4465,0.0404,-0,0.9992
120.6926,180,25.3752,0.0404,-0,0.9992
122.4552,180,25.3102,0.0333,0,0.9994
124.218,180,25.2515,0.0333,0,0.9994
125.981,180,25.1989,0.0263,-0,0.9997
127.7442,180,25.1526,0.0263,0,0.9997
129.5075,180,25.1124,0.0192,-0,0.9998
131.271,180,25.0785,0.0192,0,0.9998
133.0346,180,25.0508,0.0122,0,0.9999
134.7983,180,25.0294,0.0122,0,0.9999
136.562,180,25.0142,0.0051,0,1
138.3258,180,25.0051,0.0051,0,1
140.0896,180,25.0023,-0.0019,0,1
141.8534,180,25.0058,-0.0019,0,1
143.6172,180,25.0154,-0.009,-0,1
145.3809,180,25.0313,-0.009,-0,1
147.1446,180,25.0534,-0.0161,-0,0.9999
148.9081,180,25.0817,-0.0161,-0,0.9999
150.6716,180,25.1162,-0.0231,0,0.9997
152.4349,180,25.157,-0.0231,0,0.9997
154.1981,180,25.204,-0.0302,-0,0.9995
155.9611,180,25.2572,-0.0302,0,0.9995
157.7239,180,25.3166,-0.0372,0,0.9993
159.4865,180,25.3822,-0.0372,0,0.9993
161.2488,180,25.4541,-0.0443,0,0.999
163.0109,180,25.5321,-0.0443,-0,0.999
164.7726,180,25.6164,-0.0513,0,0.9987
166.5341,180,25.7069,-0.0513,0,0.9987
168.2953,180,25.8036,-0.0584,-0,0.9983
170.0561,180,25.9065,-0.0584,-0,0.9983
171.8165,180,26.0157,-0.0654,0,0.9979
173.5766,180,26.131,-0.0654,0,0.9979
175.3362,180,26.2525,-0.0724,0,0.9974
177.0953,180,26.3803,-0.0724,-0,0.9974
178.854,180,26.5143,-0.0795,0,0.9968
180.6123,180,26.6544,-0.0795,0,0.9968
182.37,180,26.8008,-0.0865,0,0.9963
184.1272,180,26.9534,-0.0865,0,0.9963
185.8838,180,27.1121,-0.0935,0,0.9956
187.6399,180,27.2771,-0.0935,0,0.9956
189.3953,180,27.4482,-0.1005,0,0.9949
191.1502,180,27.6256,-0.1005,0,0.9949
192.9044,180,27.8091,-0.1076,0,0.9942
194.658,180,27.9988,-0.1076,0,0.9942
196.4109,180,28.1947,-0.1146,0,0.9934
198.1631,180,28.3968,-0.1146,0,0.9934
