Path_Index,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Hit_Face_Index,V1_Index,V2_Index,V3_Index
0,180.0,0.0,0.0,-0.0,-0.0,-1.0,703,57,278,275
1,180.0,0.0,45.0,-0.0,0.2719982039192308,0.9622977590458748,636,273,276,272
2,180.0,400.0,0.0,0.0,-0.0,-1.0,724,344,343,199
3,180.0,400.0,45.47439956665039,0.0,0.14066678016323692,0.9900569968231665,590,336,337,215
4,180.0,258.5858585858586,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
5,180.0,258.5858585858586,41.61751203767569,0.0,-0.1971644318568755,0.9803704334640839,627,309,308,236
6,180.0,117.17171717171718,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
7,180.0,117.17171717171718,25.536006583401416,0.0,0.04235120428138851,0.9991027852508049,665,295,296,257
8,180.0,375.7575757575758,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
9,180.0,375.7575757575758,48.385653041152764,0.0,0.08443478278650403,0.9964290077350197,597,332,333,218
10,180.0,234.34343434343435,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
11,180.0,234.34343434343435,35.7841929823462,0.0,-0.27051738212661475,0.9627150907549767,635,313,312,239
12,180.0,92.92929292929294,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
13,180.0,92.92929292929294,27.237012424921357,-0.0,0.09218384893320344,0.9957420037318203,658,260,292,259
14,180.0,351.51515151515156,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
15,180.0,351.51515151515156,49.81655968501563,0.0,0.027931898134619777,0.9996098284163663,603,329,330,222
16,180.0,210.1010101010101,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
17,180.0,210.1010101010101,29.984094180213308,0.0,-0.14701970229727543,0.9891335638509192,581,245,314,244
18,180.0,68.68686868686869,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
19,180.0,68.68686868686869,30.129013448900324,-0.0,0.1417865547533397,0.9898972537042309,651,264,288,262
20,180.0,327.2727272727273,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
21,180.0,327.2727272727273,49.78166176885364,0.0,-0.028660298739610696,0.9995892092635635,610,326,327,226
22,180.0,185.85858585858588,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
23,180.0,185.85858585858588,27.12459565163867,0.0,-0.09071405845780735,0.9958769801527262,680,248,320,247
24,180.0,44.44444444444445,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
25,180.0,44.44444444444445,34.2334454791164,-0.0,0.1910358410573608,0.9815830619114752,645,267,285,266
26,180.0,303.03030303030306,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
27,180.0,303.03030303030306,48.28069823132553,0.0,-0.08516123440401051,0.9963671833991649,615,322,228,230
28,180.0,161.61616161616163,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
29,180.0,161.61616161616163,25.483427158174138,0.0,-0.040876394990332014,0.9991642108945828,674,252,301,251
30,180.0,20.202020202020204,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
31,180.0,20.202020202020204,39.58149248246563,0.0,0.2398080048396956,0.9708203339520679,642,281,282,270
32,180.0,278.7878787878788,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
33,180.0,278.7878787878788,45.2807729544485,0.0,-0.16003994216060402,0.9871105393588048,623,307,306,233
34,180.0,137.37373737373738,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
35,180.0,137.37373737373738,25.020594131954585,0.0,0.009063084326831469,0.9999589294078456,668,255,298,254
36,180.0,395.95959595959596,0.0,0.0,-0.0,-1.0,724,344,343,199
37,180.0,395.95959595959596,46.04845805898554,0.0,0.14066678016323692,0.9900569968231665,591,336,215,214
38,180.0,254.54545454545456,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
39,180.0,254.54545454545456,40.74792075941498,0.0,-0.21562367393735327,0.9764765390104148,630,310,309,236
40,180.0,113.13131313131314,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
41,180.0,113.13131313131314,25.732901007016856,0.0,0.05897988567425539,0.9982591713006457,663,294,295,257
42,180.0,371.71717171717177,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
43,180.0,371.71717171717177,48.72802629090057,0.0,0.08443478278650403,0.9964290077350197,596,332,218,220
44,180.0,230.3030303030303,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
45,180.0,230.3030303030303,34.64886277485277,0.0,-0.27051738212661475,0.9627150907549767,634,313,239,240
46,180.0,88.8888888888889,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
47,180.0,88.8888888888889,27.62579911082484,0.0,0.1087499246457415,0.9940691393909911,657,291,292,260
48,180.0,347.4747474747475,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
49,180.0,347.4747474747475,49.9294598895465,0.0,0.027931898134619777,0.9996098284163663,602,329,222,223
50,180.0,206.06060606060606,0.0,0.0,-0.0,-1.0,700,213,111,2
51,180.0,206.06060606060606,29.38354939951831,0.0,-0.14701970229727543,0.9891335638509192,580,315,314,245
52,180.0,64.64646464646465,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
53,180.0,64.64646464646465,30.713564123255704,0.0,0.1582485735939143,0.9873993057296991,652,287,288,264
54,180.0,323.23232323232327,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
55,180.0,323.23232323232327,49.636863009397906,0.0,-0.04751363386440218,0.9988705895144773,609,326,226,227
56,180.0,181.81818181818184,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
57,180.0,181.81818181818184,26.75655677171782,0.0,-0.09071405845780735,0.9958769801527262,681,319,320,248
58,180.0,40.40404040404041,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
59,180.0,40.40404040404041,35.01978951256689,-0.0,0.1910358410573608,0.9815830619114752,645,267,285,266
60,180.0,298.989898989899,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
61,180.0,298.989898989899,47.87467546500107,0.0,-0.10394253850519301,0.9945833040470248,616,304,322,230
62,180.0,157.5757575757576,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
63,180.0,157.5757575757576,25.318131854684218,0.0,-0.040876394990332014,0.9991642108945828,675,300,301,252
64,180.0,16.161616161616163,0.0,-0.0,-0.0,-1.0,703,57,278,275
65,180.0,16.161616161616163,40.57953629942113,-0.0,0.2398080048396956,0.9708203339520679,639,271,281,270
66,180.0,274.74747474747477,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
67,180.0,274.74747474747477,44.625703432698934,0.0,-0.16003994216060402,0.9871105393588048,622,307,233,234
68,180.0,133.33333333333334,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
69,180.0,133.33333333333334,25.057214158493412,0.0,0.009063084326831469,0.9999589294078456,669,297,298,255
70,180.0,391.9191919191919,0.0,0.0,-0.0,-1.0,724,344,343,199
71,180.0,391.9191919191919,46.61081891022915,0.0,0.12196397993888278,0.9925345271563443,594,335,336,214
72,180.0,250.50505050505052,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
73,180.0,250.50505050505052,39.85572649915538,0.0,-0.21562367393735327,0.9764765390104148,628,310,236,237
74,180.0,109.0909090909091,0.0,0.0,0.0,-0.9999999999999999,698,2,48,57
75,180.0,109.0909090909091,25.971619142779478,-0.0,0.05897988567425539,0.9982591713006457,662,258,294,257
76,180.0,367.6767676767677,0.0,0.0,-0.0,-0.9999999999999999,710,207,94,213
77,180.0,367.6767676767677,49.026079984493336,0.0,0.06562114678734984,0.9978446096934699,599,331,332,220
78,180.0,226.26262626262627,0.0,0.0,0.0,-0.9999999999999999,711,213,94,111
79,180.0,226.26262626262627,33.525126421913555,0.0,-0.26506748251400275,0.9642298635251291,588,241,313,240
80,180.0,84.84848484848486,0.0,0.0,0.0,-0.9999999999999999,695,45,2,57
